Reference|Ancien_depot|Appellation|Ancienne_appartenance|Ancienne_attribution|Auteur|Bibliographie|Commentaires|Presence_image|Date_d_acquisition|Date_de_depot|Decouverte_collecte|Denomination|Lieu_de_depot|Description|Mesures|Date_de_mise_a_jour|Date_creation|Domaine|Departement|Date_sujet_represente|Ecole_pays|Epoque|Exposition|Genese|Geographie_historique|Historique|Inscription|Numero_inventaire|Appellation_Musee_de_France|Lien_base_Arcade|Lieu_de_creation_utilisation|Localisation|Lien_Video|MANQUANT|MANQUANT_COM|Millesime_de_creation|Millesime_d_utilisation|Code_Museofile|Nom_officiel_musee|Genre|Onomastique|Precisions_sur_l_auteur|Precisions_decouverte_collecte|Periode_de_l_original_copie|Periode_de_creation|Periode_d_utilisation|Precisions_inscriptions|Precisions_lieux_creations|Precisions_sujets_representes|Precisions_utilisation|References_Memoires|References_Merimee|Reference_MAJ|References_Palissy|Region|Sujet_Represente|Lien_INHA|Source_de_la_representation|Statut_juridique|Materiaux_techniques|Titre|Utilisation|Ville|Lien_site_associe|coordonnees|Artiste_sous_droits|Date_entree_dans_le_domaine_public
M0289000423|||Richard Mr (?, beau-frère de René et Louis Gosse) ; Gosse Louis||Banda (population)|||oui|1910 (?)||Gosse Louis|couteau de jet||Couteau de jet dont la lame est formée de trois branches et la poignée est recouverte d'une peau de reptile (crocodile ?) à larges écailles cousue. La lame est décorée de motifs géométriques incisés|L. 420 ; l. 205|2026-02-23|2002-02-22|Afrique subsaharienne;ethnologie|Loiret|||||||||001.400 ; pas d'ancien numéro. Correspond aux A.N : 1695 jusqu'à 1699|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Oubanghi (lieu d'exécution),Oubanghi (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|ornement à forme géométrique|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|fer, peau de reptile||arme de jet|Pithiviers||48.172521, 2.255004||
M0289000421|||Richard Mr (?, beau-frère de René et Louis Gosse) ; Gosse Louis||Banda (population)|||oui|1910 (?)||Gosse Louis|couteau de jet||Couteau de jet dont la lame est formée de trois branches et la poignée est recouverte d'une peau de reptile (crocodile ?) à larges écailles cousue. La lame est décorée de motifs géométriques incisés|L. 390 ; l. 215|2026-02-23|2002-02-22|Afrique subsaharienne;ethnologie|Loiret|||||||||001.398 ; pas d'ancien numéro. Correspond aux A.N : 1695 jusqu'à 1699|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Oubanghi (lieu d'exécution),Oubanghi (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|ornement à forme géométrique|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|fer, peau de reptile||arme de jet|Pithiviers||48.172521, 2.255004||
M0289000456|||Lubin Désiré|||||oui|1930||Lubin Désiré|fourreau||Fourreau du poignard 001.428.1 en peau de crocodile (partie ventrale pour une face et partie dorsale pour l'autre) cousue à l'aide de lanières de cuir. Equipé d'une dragone en lanières de cuir tressées|L. 335 ; l. 40 ; L. de la dragonne : 500|2026-02-23|2002-02-22|Afrique;ethnologie|Loiret|||||||||001.428.2 ; A.N = 3298.27|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Maghreb (lieu d'exécution),Maghreb (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire||||EARM|peau de crocodile, cuir||arme blanche|Pithiviers||48.172521, 2.255004||
M0289000419|||Richard Mr (?, beau-frère de René et Louis Gosse) ; Gosse Louis||Banda (population)|||oui|1910 (?)||Gosse Louis|couteau de jet||Couteau de jet dont la lame est formée de trois branches et la poignée est recouverte d'une peau de reptile (crocodile ?) à larges écailles cousue. La lame est décorée de motifs géométriques incisés|L. 410 ; + grande l. 215|2026-02-23|2002-02-22|Afrique subsaharienne;ethnologie|Loiret|||||||||001.396 ; pas d'ancien numéro. Correspond aux A.N : 1695 jusqu'à 1699|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002||Oubanghi (lieu d'exécution),Oubanghi (lieu d'utilisation)|Pithiviers ; musée municipal||||||M0289|musée municipal||||||||||||||||Centre-Val de Loire|ornement à forme géométrique|||propriété de la commune;mode d'acquisition inconnu;Pithiviers;musée municipal|fer, peau de reptile||arme de jet|Pithiviers||48.172521, 2.255004||
000PE000932|||Faure (vente Faure, 1873/06/07, cat. n° 10) ; Laurent Richard (?) ; Rothschild Baron Arthur de ; Thomy Thiéry||Delacroix Eugène (1798-1863)|Robaut 1281 ; Catalogue des peintures du Louvre, I, Ecole Française, Paris, 1A972, p. 129 ; Catalogue sommaire illustré des peintures du musée du Louvre et du musée d'Orsay, Ecole française, III, Paris, 1986, p. 201||oui|1902|||tableau|||H. 32, l. 42|2025-04-25||peinture;beaux-arts|Paris||France|||reproduit en gravure||gravure datée 1873|daté,signé|RF 1395|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|DELACROIX EUGENE||Paris ; musée du Louvre département des Peintures||||1855||M5031|musée du Louvre|masculin||Charenton-Saint-Maurice, 1798 ; Paris, 1863|||3e quart 19e siècle||Eug.Delacroix, 1855 (S.D.b.d.)||||||||Ile-de-France|représentation animalière (lion, crocodilien, agression animale)|||propriété de l'Etat;legs;musée du Louvre département des Peintures|peinture à l'huile;bois|Lion et caïman||Paris||48.86079459806906, 2.3378156596817785||
000PE001051|||||DORIGNY Michel|C.P.I. 225||oui||||élément d'ensemble||||2025-04-24||peinture|Paris||France|||Vincennes (château, plafond, peinture déposée)||salle du conseil de l'appartement d'Anne d'Autriche au château de Vincennes ; appartenait à une suite de quatre tableaux représentant les quatre parties du monde ; numéros d'inventaire des autres éléments : inv 20353 à inv 20355||INV 20356|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Paris ; musée du Louvre département des Peintures||||||M5031|musée du Louvre|||Saint-Quentin, 1617 ; Paris, 1665|||2e quart 17e siècle;3e quart 17e siècle||||||||||Ile-de-France|figure (femme, allégorie : Amériques, putti, coiffe, arc, flèche, crocodilien)|||propriété de l'Etat;musée du Louvre département des Peintures;mode d'acquisition inconnu|peinture à l'huile|L'AMERIQUE|décor d'architecture|Paris||48.86079459806906, 2.3378156596817785||
M0567000066|||Cazeneuve Marius||CAZENEUVE Marius|||oui|1904 entre ; 1913 et|||tableau||Le carton présente sur sa face les traces du contour d'un ancien cadre et au revers des marques de fixation par des clous|H. 23, l. 38|2026-02-23|2003-10-27|peinture;Afrique;ethnologie|Haute-Garonne||France||||||signé|003.0.114|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Toulouse ; musée du vieux Toulouse||||||M0567|musée du vieux Toulouse|||Toulouse, 1839 ; Toulouse, 1913|||2e moitié 19e siècle;1er quart 20e siècle||M Cazeneuve (b. g., pinceau et peinture rouge)||||||||Occitanie|scène (groupe de figures, Cazeneuve Marius : explorateur, Africain, chasse, crocodile, lance),fond de paysage (désert, cours d'eau)|||propriété privée personne morale;don manuel;Toulouse;musée du vieux Toulouse|peinture à l'huile;carton|Marius Cazeneuve et le crocodile||Toulouse||43.602258, 1.443132||
000PE027635|||Degée André||DEMONCHY André||6 septembre 1983|non|1983|||tableau|||45.5 H ; 55 L|||peinture|Mayenne||France||||||daté,signé,inscription concernant la représentation (d'origine, face, revers)|83.16.4|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Laval ; musée du vieux château||||1953||M0766|musée du Vieux-Château|||Paris, 1914|||3e quart 20e siècle||FAIT D'APRES/UN REVE/LE 12.12.53/DEMONCHY (S.D.B.D.) ; ILE DE NOS REVES (SUR UN ARBRE, FACE) ; OU ALLONS NOUS 10, A PIGALLE (?) (SUR LES BARQUES, FACE) ; TABLEAU/SANS AUCUNE VALEUR/DEMONCHY (AU CRAYON BOIS, REVERS) ; EXACTEMENT/FAIT D'APRES UN REVE/LE 12 DECEMBRE 1953/DEMONCHY (A LA PEINTURE NOIRE, REVERS)||||||||Pays-de-la-Loire|scène (mer, île, plage, végétation, feuillu, palmier, oiseau, panthère, hutte, feu, fumée, marmite, cuisson, rocher, homme, agression animale, crocodilien, barque, naufrage, arc, flèche, lance)|||propriété de la commune;achat;Laval;musée du Vieux Château|peinture à l'huile;carton|EXACTEMENT FAIT D'APRES UN REVE||Laval||48.068652, -0.77221||
000PE027946|||Boulnois Maurice, coll. de l'artiste||BOULNOIS Maurice|||non|1981|||tableau|||89 H ; 116 L|||peinture|Mayenne||France||||||signé,inscription concernant la représentation (d'origine, face)|81.33.7|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|||Laval ; musée du vieux château||||||M0766|musée du Vieux-Château|||Rouen, 1913|||20e siècle||MAURICE BOULNOIS (S.H.G., EN BRUN) ; ENFERMEES DANS LES CERCLES DE LA FOLIE (H.D.)||||||||Pays-de-la-Loire|scène (homme, femme, animal : oiseau, crocodilien, ?, folie)|||propriété de la commune;donation;Laval;musée du Vieux Château|peinture à l'huile;toile|ENFERMEES DANS LES CERCLES DE LA FOLIE||Laval||48.068652, -0.77221||
000SC004284|||Cantini Jules||Barye Antoine-Louis (1795-1875);Barbédienne Ferdinand (1810-1892) (fondeur)|||non|1917|||groupe relié|||17 H ; 39 L|2026-09-09||sculpture|Bouches-du-Rhône||France||||||signé|962|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|BARYE ANTOINE LOUIS||Marseille ; musée Cantini||||||M0915|musée Cantini|||Barye : Paris, 1795 ; Paris, 1875 ; Barbedienne : Saint-Martin-de-Fresnay, 1810 ; Paris, 1892|||1ère moitié 19e siècle;3e quart 19e siècle||A.L. BARYE ; F.BARBEDIENNE, FONDEUR||||||||Provence-Alpes-Côte-d'Azur|représentation animalière (crocodilien, serpent, agression animale)|||propriété de la commune;donation;Marseille;musée Cantini|fonte;bronze;patine|CAIMAN ET SERPENT||Marseille||43.292383, 5.378137||
000SC010999|||Chauchard Alfred||Barye Antoine-Louis (1795-1875)||sur socle ; restaurée (1978) ; testament rédigé en 1906 (décret de 1910)|non|1909 Entrée matérielle ; 1910|1986||groupe relié|affectation;musée du Louvre département des Sculptures;affectation;musée d'Orsay||16.5 H ; 41.7 L ; 22.2 P|2024-10-29||sculpture|Paris||France|||répétition;oeuvre en rapport||TIRAGE ; UNE AUTRE EPREUVE EST CONSERVEE AU LOUVRE (OA 5764) ; BRONZES EDITES PAR BARYE LUI-MEME|signé,marque|OA 6357|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|BARYE ANTOINE LOUIS||Paris ; musée d'Orsay||||||M5060|musée d'Orsay|masculin||Paris, 1795 ; Paris, 1875|||2e quart 19e siècle;3e quart 19e siècle||BARYE (S. DERRIERE LA QUEUE DU CROCODILE) ; BARYE 2 (MARQUE POINCONNEE)||||||||Ile-de-France|représentation animalière (agression, repas, crocodilien, antilope : cadavre)|||propriété de l'Etat;legs;musée du Louvre département des Objets d'art|fonte au sable;bronze;patine|CROCODILE DEVORANT UNE ANTILOPE||Paris||48.859157, 2.323672||
000SC013963|||||FREMIET Emmanuel||statues placées au musée de la Marine du Louvre, puis au palais de Chaillot après le transfert du musée de la Marine ; envoyées au musée naval de Rochefort|non||1983||ensemble;statue (4);table|attribution;musée de la Marine;dépôt;musée d'Orsay|sur socle ; trois statuettes sont à patine verte, la quatrième à patine brune|89 H ; 27.6 L ; 52.5 P|2023-11-15||sculpture|Paris||France|||||ensemble déposé ; commandé par l'Etat en 1849 pour porter une table de porphyre du département égyptien du musée du Louvre||DO 1983-81 ; DO 1983-84|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|FREMIET EMMANUEL||Paris ; musée d'Orsay||||||M5060|musée d'Orsay|||Paris, 1824 ; Paris, 1910|||2e moitié 19e siècle;1er quart 20e siècle||||||||||Ile-de-France|représentation animalière (marabout, crocodilien : captif, violence individuelle)|||propriété de l'Etat;musée de la Marine;achat après commande;Service d'achat aux artistes vivants|fonte;bronze;patine|MARABOUT TENANT UN CAIMAN DANS SES PATTES||Paris||48.859157, 2.323672||
00000107407|||Lédans (1807) ; La Mésangère Pierre de (1816) ; Orléans Henri d', Aumale duc d' (L. 2778)||Carmontelle (1717-1806)|F. A. Gruyer, Les portraits de Carmontelle, Chantilly, 1902, n° 395|cote : T 6 ; n° 6|oui|1886 date d'acquisition ; 1897 entrée matérielle||||||H. 30.5, l. 18.5|2026-02-23|2000-05-10|dessin|Oise|1707 né ; 1788 mort|France||||||date,inscription donnant l'identité du modèle,marque concernant les collections|CAR 395||||Chantilly ; musée Condé||||1769||M5052|musée Condé|||Paris, 1717 ; Paris 1806|||3e quart 18e siècle||1769 (b.d.) ; Mr de Buffon (b., encre, de la main de M. de Ledan)||||||||Hauts-de-France|portrait (Buffon Georges Louis Leclerc comte de, homme, assis, de profil, perruque, fauteuil, sphère, téléscope, éléphant d'afrique, dromadaire, lion, crocodile, chat, palmier, table, savant)|||propriété privée personne morale;donation sous réserve d'usufruit;Chantilly;musée Condé;interdiction de prêt et de dépôt|mine de plomb, sanguine, aquarelle, gouache, papier|Mr de Buffon||Chantilly||44.204302, 0.648652||
M5037010854|||coll. Thomy-Thiéry George (1823-1902)||Barye Antoine-Louis (1795-1875)|Sculpture française. II. Renaissance et Temps modernes. Sous la direction de Jean-René Gaborit. - Paris : RMN, 1998||non|1902 date d'acquisition ; 1939 entrée matérielle vers|||groupe relié|affectation;Paris;musée du Louvre département des Sculptures||16.7 h ; 38.6 l ; 14.5 pr|2026-06-15|2000-11-28|sculpture|Paris||France|||œuvre en rapport||le modèle original est conservé au Louvre (RF 1585)|poinçon|OA 5765|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|BARYE ANTOINE LOUIS||Paris ; musée du Louvre département des Sculptures||||||M5031|musée du Louvre|masculin||Paris, 1795 ; Paris, 1875|||2e quart 19e siècle;3e quart 19e siècle||AL BARYE (s. sur la terrasse, près de la queue du crocodile)||||||||Ile-de-France|représentation animalière (agression, mort : crocodilien, serpent constricteur)|||propriété de l'Etat;donation;Paris, musée du Louvre département des Objets d'art|bronze;patine (brune)|Serpent python étouffant un crocodile ; dit à tort, Boa et caïman||Paris||48.86079459806906, 2.3378156596817785||
M5037010918|||coll. Thomy-Thiéry George (1823-1902)||Barye Antoine-Louis (1795-1875)|Sculpture française. II. Renaissance et Temps modernes. Sous la direction de Jean-René Gaborit. - Paris : RMN, 1998||non|1902 date d'acquisition ; 1939 entrée matérielle vers|||statuette|affectation;Paris;musée du Louvre département des Sculptures||3.5 h ; 20 l ; 7 Pr|2026-02-23|2000-11-28|sculpture|Paris||France||||||signé|OA 5840|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|BARYE ANTOINE LOUIS||Paris ; musée du Louvre département des Sculptures||||||M5031|musée du Louvre|masculin||Paris, 1795 ; Paris, 1875|||2e quart 19e siècle;3e quart 19e siècle||BARYE (s. poinçon, par deux fois sur la queue, au revers)||||||||Ile-de-France|représentation animalière (crocodilien)|||propriété de l'Etat;donation;Paris, musée du Louvre département des Objets d'art|bronze;patine (brun, orange)|Crocodile, dit aussi Caïman||Paris||48.86079459806906, 2.3378156596817785||
M5037010853|||coll. Thomy-Thiéry George (1823-1902)||Barye Antoine-Louis (1795-1875)|Sculpture française. II. Renaissance et Temps modernes. Sous la direction de Jean-René Gaborit. - Paris : RMN, 1998|sur terrasse ovale moulurée|non|1902 date d'acquisition ; 1939 entrée matérielle vers|||groupe relié|affectation;Paris;musée du Louvre département des Sculptures||16.5 h ; 41.5 l ; 23.2 Pr|2026-06-15|2000-11-28|sculpture|Paris||France|||répétition;œuvre en rapport||une épreuve se trouve au Louvre (OA 6357)||OA 5764|Musée de France#au sens de la loi n°2002-5 du 4 janvier 2002|BARYE ANTOINE LOUIS||Paris ; musée du Louvre département des Sculptures||||||M5031|musée du Louvre|masculin||Paris, 1795 ; Paris, 1875|||2e quart 19e siècle;3e quart 19e siècle||||||||||Ile-de-France|représentation animalière (crocodilien, agression, repas, antilope)|||propriété de l'Etat;donation;Paris, musée du Louvre département des Objets d'art|bronze;patine (verte)|Crocodile dévorant une antilope, dit aussi, Caïman dévorant une antilope||Paris||48.86079459806906, 2.3378156596817785||
