museum,city,country,lead_source,lead_detail,source_reliability,resolution,x_agents
Landesmuseum Natur und Mensch Oldenburg,Oldenburg,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Landesmuseum Württemberg,Stuttgart,DE,assignment candidate list (orchestrator memory list) + own partial checks,museum-digital/DDB crocodile queries negative; own online collection not searched,SECONDARY,OPEN,germany
Liebieghaus Skulpturensammlung,Frankfurt am Main,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched; check sammlung online for Krokodil/Mumie,SECONDARY,OPEN,germany
Linden-Museum Stuttgart,Stuttgart,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
LWL-Museum für Naturkunde / Archäologisches Museum der Universität Münster,Münster,DE,assignment candidate list (orchestrator memory list) + own partial checks,museum-digital: coins/ushabti only; natural history not searched,SECONDARY,OPEN,germany
MARKK – Museum am Rothenbaum,Hamburg,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Martin-von-Wagner-Museum der Universität Würzburg,Würzburg,DE,assignment candidate list (orchestrator memory list) + own partial checks,Official URL uni-wuerzburg.de/museum/ returned 404; check Ägyptiaca catalogue / curator,SECONDARY,OPEN,germany
Mummies of the World: The Exhibition (touring; lenders incl. Reiss-Engelhorn-Museen Mannheim and others),UNKNOWN,DE,https://www.visithoustontexas.com/blog/post/worlds-largest-collection-of-mummies-visits-houston/,"Touring exhibition shown at HMNS Houston (2016) included 'Egyptian animal mummies including a falcon, a fish, a dog and a baby crocodile'. Lender of the baby crocodile not stated.",SECONDARY,OPEN,usa_south
Museum für Kunst und Gewerbe Hamburg,Hamburg,DE,assignment candidate list (orchestrator memory list) + own partial checks,"DDB shows only crocodile palette, mummy masks; own sammlungonline not searched",SECONDARY,OPEN,germany
Museum für Naturkunde Berlin,Berlin,DE,assignment candidate list (orchestrator memory list) + own partial checks,Check data portal (portal.museumfuernaturkunde.berlin) for 'Mumie'/'Crocodylus niloticus mumifiziert',SECONDARY,OPEN,germany
Museum Koenig Bonn (LIB/ZFMK),Bonn,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Museum Naturalienkabinett Waldenburg,Waldenburg,DE,assignment candidate list (orchestrator memory list) + own partial checks,museum-digital shows human mummy and falcon mummy NAT 1758 only; no crocodile found,SECONDARY,OPEN,germany
Museum Ulm,Ulm,DE,assignment candidate list (orchestrator memory list) + own partial checks,"museum-digital/DDB: bird (sparrowhawk) mummies 1920.4618i, 1913.3040a/b; no crocodile",SECONDARY,OPEN,germany
Naturkunde-Museum Coburg; Naturkunde-Museum Bamberg; Naturhistorische Gesellschaft Nürnberg; Museum Natur und Mensch Freiburg; Meeresmuseum Stralsund; Mauritianum Altenburg; Herrnhut; Görlitz Senckenberg,various,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched (natural-history cabinets that may hold 18th/19th-c. crocodile mummies),SECONDARY,OPEN,germany
Phyletisches Museum Jena,Jena,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Rautenstrauch-Joest-Museum,Köln,DE,assignment candidate list (orchestrator memory list) + own partial checks,DDB: ethnographic crocodile figure only,SECONDARY,OPEN,germany
Reiss-Engelhorn-Museen Mannheim,Mannheim,DE,assignment candidate list (orchestrator memory list) + own partial checks,"German Mummy Project (Rosendahl, Zesch); REM own holdings not searched; also source for Zesch 2015 Hildesheim animal mummies",SECONDARY,OPEN,germany
Senckenberg Naturhistorische Sammlungen Dresden,Dresden,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Senckenberg Naturmuseum Frankfurt,Frankfurt am Main,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched; check SESAM DB for mummified Crocodylus,SECONDARY,OPEN,germany
Staatliches Museum für Naturkunde Stuttgart,Stuttgart,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Städtisches Museum / Naturhistorisches Museum Braunschweig; Herzog Anton Ulrich-Museum,Braunschweig,DE,assignment candidate list (orchestrator memory list) + own partial checks,HAUM: faience crocodile amulet only (Kulturerbe Niedersachsen); others not searched,SECONDARY,OPEN,germany
Stiftung Schloss Friedenstein (Herzogliches Museum; Naturkunde),Gotha,DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched; old Kunstkammer holdings possible,SECONDARY,OPEN,germany
Stiftung Schloss Friedenstein Gotha,Gotha,DE,"Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'",Crocodile parallel cited: SSFG Ae 1153,SCHOLARLY,OPEN,southern_europe
Übersee-Museum Bremen,Bremen,DE,assignment candidate list (orchestrator memory list) + own partial checks,museum-digital: crocodile figures/skin only; no mummy found,SECONDARY,OPEN,germany
Zentralmagazin Naturwissenschaftlicher Sammlungen / Landesmuseum für Vorgeschichte,Halle (Saale),DE,assignment candidate list (orchestrator memory list) + own partial checks,Not searched,SECONDARY,OPEN,germany
Zoologische Staatssammlung München (SNSB),München,DE,assignment candidate list (orchestrator memory list) + own partial checks,Check SNSB collection DB for mummified Crocodylus,SECONDARY,OPEN,germany
Natural History Museum of Denmark (NHMD),Copenhagen,DK,assignment candidate list; GBIF DK Crocodylia records exist,GBIF query not completed: https://api.gbif.org/v1/occurrence/search?taxonKey=11493978&publishingCountry=DK&q=mumie,SECONDARY,OPEN,nordic_baltic
Ny Carlsberg Glyptotek,Copenhagen,DK,assignment candidate list,Egyptian collection (ÆIN numbers); online collection not searched,SECONDARY,OPEN,nordic_baltic
Thorvaldsens Museum / Moesgaard / other Danish museums,UNKNOWN,DK,assignment candidate list,Museernes Samlinger / Arkiv.dk not searched,SECONDARY,OPEN,nordic_baltic
"Baltic museums (Tartu, Riga, Vilnius, Kaunas Čiurlionis, Ivanauskas Zoological)",UNKNOWN,EE,assignment candidate list; Europeana 'krokodill' showed only Tartu figure muis 2851670,"MuIS (muis.ee), LNDB/Latvian and LIMIS/Lithuanian portals not searched",SECONDARY,OPEN,nordic_baltic
"Akoris (Tehna el-Gebel) archaeological site – Chapel E storeroom, Western Temple (MoTA; Paleological Association of Japan mission)","Tehna el-Gebel, Minya Governorate",EG,https://www.jstage.jst.go.jp/article/orient/61/0/61_109/_article/-char/ja/,"Shimizu 2026 (Orient 61: 109-125) n.7: 'Currently (in 2024) the crocodile mummies in Akoris are kept inside Chapel E'; Abou-Seif (1926) relocated crocodile mummies and coffins not needed by the Cairo Museum into Chapel E's second room (iron gate, storage). 2024 cleaning found numerous crocodile mummies incl. one with cranial length c. 69 cm, est. total length c. 4.8 m. Publication forthcoming: Shimizu, 'The Second Room of Chapel E at Akoris' (Preliminary Report Akoris).",SCHOLARLY,IN_MASTER INST-EG-001,east_asia
"Akoris (Tehna el-Gebel) site store, Japanese mission",Minya,EG,"Shimizu, M. 2026. Horizontal Niches for Crocodile Mummies in Akoris. Orient 61: 109ff., doi 10.5356/orient.61.109",crocodile mummy burial niches at Akoris; finds location unknown,SCHOLARLY,OPEN,literature
"Egyptian Museum, Cairo",Cairo,EG,"https://www.jstage.jst.go.jp/article/orient/61/0/61_109/_article/-char/ja/; Hekkala et al. 2022, p. 4; archive.org lafaunemomifie00gail (Gaillard & Daressy 1905, CG); De Cupere et al. 2023 PLOS ONE e0279137; Hekkala et al. 2020, 2022; Ikram, Aicardi, Facchetti (eds.), The Animal Mummies of the Museo Egizio, Turin, 2024 (https://shop.museoegizio.it/media/fcp/pdf/9788857020136a.pdf), crocodile chapter 8.12 'Parallels'; Shimizu 2026 Orient 61 (full text read) citing Abou-Seif 1926 ASAE 26: 32-38","Shimizu 2026 n.7 citing Abou-Seif 1926 (ASAE): crocodile mummies and coffins from Akoris Chapel D excavation (1926) — those deemed necessary went to the Cairo Museum; others stored in Chapel E. | Adult crocodile mummy with hatchlings in the wrappings, CG 29628 | Catalogue Général 'La faune momifiée de l'antique Égypte' – full text on archive.org, lists Cairo crocodile mummies | one of the two largest collections of animal mummies (with Lyon); crocodiles among them | CG 29628 (large crocodile with hatchlings), CG 29630 | Crocodile parallels cited: EMC CG 29630 (Ikram and Iskander 2002, pp. 7, 77); CG 29816 bis (crocodile with cartonnage covering) | Crocodile mummies and coffins from Akoris (Tehna el-Gebel) Chapel D selected for the Cairo Museum in 1926",SCHOLARLY,IN_MASTER INST-EG-003,east_asia;france;literature;southern_europe;toponyms
Graeco-Roman Museum,Alexandria,EG,https://www.jstage.jst.go.jp/article/orient/61/0/61_109/_article/-char/ja/,"Shimizu 2026 fig. 5b: 'Example of a crocodile mummy on a wooden litter (Graeco-Roman Museum, Alexandria; photograph by the author, 2024)'; wooden litter from temple of Pnepheros at Theadelphia inv. 19679-19681 (Kockelmann 2017: 614-615, Taf. 72, 77-78).",SCHOLARLY,OPEN,east_asia
Hawara excavation crocodile bones (storage unknown),Fayum,EG,"Abdel-Maksoud, G. & Abdel-Hady, M. 2011. Effect of burial environment on crocodile bones from Hawara excavation, Fayoum, Egypt. Journal of Cultural Heritage, doi 10.1016/j.culher.2010.12.002",crocodile bones (mummified?) from Hawara,SCHOLARLY,OPEN,literature
"Qubbat al-Hawa, tomb QH34ll (site storage; Universidad de Jaén Qubbat al-Hawa Project, Ministry of Tourism and Antiquities)",Aswan (West Bank),EG,De Cupere et al. 2023 PLOS ONE e0279137,"10 crocodiles excavated 2019 (5 isolated skulls, 4 more or less complete skeletons, 1 articulated mummified specimen); 'studied on site and are also currently stored there'",SCHOLARLY,OPEN,literature
Sharm el-Sheikh Museum,Sharm el-Sheikh,EG,Hekkala et al. 2022 p. 5,"crocodile mummy with hatchlings on back, no number, probably from Saqqara",SCHOLARLY,IN_MASTER INST-EG-007,literature
Sharm El-Sheikh Museum of Antiquities,Sharm El-Sheikh,EG,"Pubblico 2025, Heritage 8:415, p. ~21","'a crocodile mummy kept at the Sharm El-Sheikh Museum of Antiquities' with square pattern, no number given",SCHOLARLY,OPEN,france
Museo Nacional de Ciencias Naturales (MNCN); Museo Nacional de Antropología; Museo Bíblico Oriental León; Museo de Sevilla; Cádiz; Almería; Museo Canario; Museo de la Naturaleza y Arqueología Tenerife,various,ES,Assignment candidate list,Not checked,SECONDARY,OPEN,southern_europe
Museu Egipci de Barcelona (Fundació Clos); Museu de Montserrat; Museu de Ciències Naturals de Barcelona; Museu d'Arqueologia de Catalunya; Museu Víctor Balaguer,Barcelona / Montserrat / Vilanova,ES,Assignment candidate list,Not checked; CERES search hit 429 - resume ceres_search.py 'momia cocodrilo' and 'cocodrilo',SECONDARY,OPEN,southern_europe
National Museum of Ethiopia,Addis Ababa,ET,assignment list,not checked,SECONDARY,OPEN,rest_of_world
"Finnish museums (National Museum of Finland, Luomus, Turku)",UNKNOWN,FI,assignment candidate list,Finna API not queried: https://api.finna.fi/v1/search?lookfor=krokotiili+muumio,SECONDARY,OPEN,nordic_baltic
Angers museums,Angers,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Auxerre museums,Auxerre,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Berruyer 2021 doctoral thesis (survey of crocodile mummies),Lyon,FR,De Cupere et al. 2023 ref. 9; Crossref DOI 10.70675/a424b201z8c5dz4caeza6c7zb797a216b2e5,"Berruyer, C. 2021. Synchrotron X-ray imaging contribution to the study of animal mummification in ancient Egypt: archaeozoological study of crocodile mummies (Ptolemaic and Roman periods). PhD, Université Lumière Lyon 2 – cited for 'several hundred crocodile mummies ... in museums worldwide'; likely contains an inventory of holding institutions.",SCHOLARLY,OPEN,egypt
Bourges museums,Bourges,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Caen museums,Caen,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Cambrai museum,Cambrai,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Chambéry museums,Chambéry,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Chartres museums,Chartres,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Château de Blois,Blois,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Château-musée de Boulogne-sur-Mer,Boulogne-sur-Mer,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Dunkerque museums,Dunkerque,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
"Institut d'égyptologie, Université de Strasbourg",Strasbourg,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Laval museums,Laval,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Limoges (Musée des Beaux-Arts),Limoges,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Le Mans museums,Le Mans,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
"Montpellier museums (Musée Fabre, Univ. Montpellier)",Montpellier,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Alfred Danicourt,Péronne,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'. Holds Louvre dépôts of Egyptian animal mummies (Louvre record ME 83 fish mummy long-term loan) – check for crocodile,SECONDARY,OPEN,france
Musée Antoine-Vivenel,Compiègne,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Auguste-Grasset,Varzy,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Bargoin,Clermont-Ferrand,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée Champollion,Figeac,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
Musée d'Aquitaine,Bordeaux,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
"Musée d'Archéologie méditerranéenne (Vieille Charité, Clot-Bey coll.)",Marseille,FR,Assignment candidate list (unverified memory list from orchestrator),NOT YET SEARCHED individually (WebSearch budget exhausted). Resume: check Joconde export remainder (pass stopped at ~1M lines) + museum site search 'momie crocodile'.,SECONDARY,OPEN,france
