RWC5R2HJ7NKKSIRRIQGB3BDWHLIJTQQY | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierfigur aus Ton | Brasilien; Mato Grosso; Berlin
7LDN6KINW2QP7N34DQWK6II4YPQUWRYH | Krokodile im Liebesspiel | Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Abschnitt (Publikation); Fotografie | 
DQBNWEWQX6LR3XTKF7W7ZSIZOUC4KIXV | Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Figur | Djamna; Rotterdam
JTMFEIAHWFCY3BTHDR5WF4Z4TPJAYKCE | Taucherschacht KROKODIL | Bundesanstalt für Wasserbau (BAW). Infozentrum Wasserbau; Bundesanstalt für Wasserbau | Fotografie | Koblenz; Wasserstraße: 3201 - Mosel, Hauptstrecke
BUISXGHOAG372XNRMZNRO5ITA57AZGDT | Krokodil mit Falkenkopf | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Amulett | Arab Republic of Egypt; Dresden
CMWJY5JRMQUMU4D4EORNPLU7QLVNC3RD | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
HA6M7MXJUUAQBIS3IEDL3XWGWBL4YNHS | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
MKR4YSIAZIP3TLVEHYGTXNPGMMETUGLQ | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
OZKMHZHFMZSQKJXAGS5FZAASJUIXN5UL | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
VUPJPRK5MWZT4Q67RKEVGPPIXIB3ABQZ | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
KXHOBRV6GKVIATXT6M7YAIEVX6W4IIIH | Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Karlsruhe, Gymnasiumstraße 6a
TR42QPM7WWNF2RBJTACDGJ52AV6TM3HD | Taucherschacht KROKODIL | Bundesanstalt für Wasserbau (BAW). Infozentrum Wasserbau; Bundesanstalt für Wasserbau | Fotografie | Koblenz; Wasserstraße: 3201 - Mosel, Hauptstrecke
ATYPZTHV5D7IO4IUXHPJEF2HSK7LECCL | Krokodil-Abbildungen | Archive in NRW; Stadtarchiv Münster | Archivale | 
LQACGXEKR3XDHZ2FNWSKQJ5OW2VOV4CC | Jäger töten Krokodile. | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
MUHFDTOEW3RU4OCMGOCYKXTWTL6XPU7V | Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Relief | Ehemalige Benediktinerabtei (Kloster), Gengenbach, Konventsgebäude, Treppenhaus
OSUXJTZMUPHCGVVUXGNMTQ6MK5AXVGL5 | Kopf eines Krokodils | Staatliche Kunstsammlungen Dresden. Skulpturensammlung; Staatliche Kunstsammlungen Dresden | Tierplastik | Dresden
X6CBIBZXNMANEDSKQV2BKLR7V3ZUPFA2 | Taucherschacht KROKODIL | Bundesanstalt für Wasserbau (BAW). Infozentrum Wasserbau; Bundesanstalt für Wasserbau | Fotografie | Koblenz; Wasserstraße: 3201 - Mosel, Hauptstrecke
DCFJ7UPQLYXO6KOMWBUCK47STEWH43IS | Manche hatten Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Plakat | 
2LTFCSZGJ4KKSNV4OTNBWIDJJRSIYTG6 | [Krokodil frisst Schlange] | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
XD6VBPZRNTMS5WD64N75AHQCUYRQSKPH | [Echsen und Krokodil] | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
EI4SAQKRZ2WDF27CMMX6233YAZQXE5IR | Große Scharen von Krokodilen | Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Abschnitt (Publikation); Fotografie | 
4JPFHNG3ADPI2E3ASY7ALQFCFC52A6ZZ | Krokodil | Deutsche Fotothek; Landesverband Bildende Kunst Sachsen e.V. | Zeichnung | 
6A2Y2IDY5YUJKFLKC6O4OQOC7G2TKTNN | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Fragment einer Tierskulptur | Gambia; Senegal; Berlin
EQRZOZQDT2MKKCDX74T43OHOQVFGZTQH | Krokodile. | Universitätsbibliothek Bielefeld | Illustration | 
ISCUMDWWWEUOJ467JUW5CUAO6SO7WHEL | Krokodil | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Illustration | 
LEX3JMEBIZYGMFW2BQGWHGJ53ZRX73LI | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Deutsch-Südwestafrika; Namibia; Berlin
MVXEGNFJ2TBWO54I4SUYCG3JJ5LELW2J | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Kamerun; Kumba; Berlin
NH2AOPF4DDXMCVQWHXMEY24MBQURYY7J | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Kamerun; Berlin
PKOS56AP5VOZXZVLEPRI536YEPDOX7FG | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Kamerun; Berlin
Q6MWZUTLJULD36E46HXVM56CRLP3PMT3 | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Kamerun (?); Berlin
TJ55AZF25ZPL332ZOKYSQJDMNNY62VKI | Krokodil | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Tierskulptur | Deutsch-Südwestafrika; Namibia; Berlin
WSRPZ7P2AGB4P4LEAWZP5PK2KMNBY2ID | Krokodile | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Skulptur (Torbalken ?) | Kamerun; Berlin
XLGNYZH3SVPRZCF2SFW3L3YE3NIMTC6O | Krokodil | Deutsche Fotothek; Landesverband Bildende Kunst Sachsen e.V. |  | Lügenmuseum
YQMGNQW4FRL2MT4CY5FATEB4AJ234VDX | Krokodil | Museum Europäischer Kulturen; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Maske | Thüringen, Deutschland; Berlin
J36STWZYDEN5TEBDOHVGWRJF5Q4RIGL5 | Krokodil (?) | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Figur | Iglesia parroquial de Nuestra Señora de la Asunción (Kirche), Viso del Marqués, Nordseite, Vorhalle, westlicher Bogen
SAWGIDEXJLGNA3UJMZJL6P5Y5QQUABQT | Krokodil auf Rädern | Museum Europäischer Kulturen; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Krokodil auf Rädern | Karlsbad, Tschechische Republik; Tschechische Republik; Berlin
ZOKDCUMGK37YIXS56CCJYELNDTXIEZMX | Mit Angeln im Mlagarassi erlegte Krokodile. | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Positiv, SW | Malagarasi (Mlagarassi); Berlin
UTGO7FPKCIYTK5O6SRU6RUL6LUIYLDI7 | Krokodile | Deutsche Nationalbibliothek | Jugendsachbuch | Stuttgart; Frankfurt am Main
G7XJ5PLC2TKPIPFU75SDZGIAY25DTKIV | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
JVBG6EBJXFKGI62AK2TPMQMCLNMCNWT7 | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
PZJCC3HUXM7YQNHG2VAO6RZE5BLDKEYJ | Erlegtes Krokodil : Erlegtes Krokodil (Crocodylus niloticus chamses) am Ufer eines Gewässers | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Ostafrika (Afrika)
SWVG5TUTII7567VRT2J4BSY4RDKUVMHK | Animalia: Krokodil und Echsen | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
FHGEWIKMACVNWX5CNL7VQIZFFLXYSO46 | Darstellungen des Krokodils | Archive in NRW; Stadtarchiv Münster | Archivale | 
FB2PKLUSWTZ4GQG6A6AVWYEOZNFYUJ2X | Krokodile (Altersgruppe 14-17) | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
C55ON6EZ2FRDUJB5CTV4N5OQHH7Y5FM3 | ANIMALIA. Krokodile und Echsen. | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
K6V762MMLZPOEKESL5ADKJSSJQFGFF2N | Krokodile, Aquariumhaus, Zoologischer Garten Berlin | Stiftung Deutsches Historisches Museum | Stereofotografie | Berlin
DKR7XPNPKK2MYTYLCHPY54Y5WXRNCZ4L | Krokodile im Leipziger Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Leipzig
E5BCPBGKKTB735MJXEICLB3RQXZPBCQK | Krokodile im Leipziger Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Leipzig
K2BOYGZWAIUGDFCG2RL42FRES3QFYWIH | Krokodile im Leipziger Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Leipzig
NH5MTTXA7RIJSAIUZ3ZJPLECMJVTLBWG | Riesenhalle Krokodil (Bestand) | Stadtarchiv Nürnberg | Bestand | 
2WR2NNSEYDUUHF3A4U34TRUIH2QI4XGY | Krokodil-Figur mit Schlange auf dem Rücken | Museum Fünf Kontinente | Figur | München
EZP3QIWDB4TU7DFA223OT55D5HFUOC7G | Manche hatten Krokodile (2016) - Trailer | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Trailer (Film) | 
YZOOMG4GPMHIKTSKWP235WAR374O7AFH | Fußraspel in Gestalt eines Krokodils | digiCULT-Verbund eG; Nordfriesland Museum. Nissenhaus | Massagebürste | Ägypten
HVDYNYLPRJ3F6DKDWM4AKDZFKX3OFSZ5 | Das Krokodil | Deutsche Nationalbibliothek | Kindersachbuch | Esslingen; Frankfurt am Main
D4TTSFNRFCJ7X4SSLJ746MSU3G3OOW3J | Schminkpalette in Form eines Krokodils | Museum für Kunst und Gewerbe Hamburg | Schminkpalette (Naqada-Kultur) | Ägypten
66WGCNZWSJPJW6IPYSL7JIY44MOR5UFN | Das Krokodil | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Abschnitt (Publikation) | 
D3AI6BV7WN2WJXU6MHW7MC6CM2MMQFJH | Über Krokodile | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Handschrift; Werke | 
EIISHBCAPFUWTQBSH3AGRCZYOWJ5XML5 | Geschnitztes Krokodil | Stiftung Deutsches Historisches Museum |  | Berlin
N3BJHFMM5T5JDQUHDV6KPASG7LQTXC57 | Massefigur Krokodil | Stiftung Deutsches Historisches Museum | Tierfigur | Brandenburg (Havel); Berlin
NPILOMGLXHUMZPNB4LHI3FU72AEIN4AC | Handpuppe: Krokodil | Stiftung Deutsches Historisches Museum |  | Berlin
NVTAMOB6KB6CXAX3FK77WC3CESGRJSSO | Spielzeugtier "Krokodil" | Stiftung Deutsches Historisches Museum | Tierfigur | Ludwigsburg ?; Berlin
SZVVH3HVZA3HOIOCS7MYB2N43MRIJ7ZE | Christbaumschmuck: Krokodil | Stiftung Deutsches Historisches Museum | Christbaumschmuck | Berlin
UL3VV6N35M2DHZVV5KPW6QNZHPLLJSDG | Menschenfreundliche Krokodile. | Universitätsbibliothek der Albert-Ludwigs-Universität Freiburg; Albert-Ludwigs-Universität Freiburg | Abschnitt (Publikation) | 
VABDOHTMBTDTXULDASSKVMTOENBUNQDI | Das Krokodil. | Universitätsbibliothek Bielefeld | Illustration | 
ZFO6XPATWQTVLS3X4VE3J6R5HTLYGUBZ | Handtuch "Krokodil" | Stiftung Deutsches Historisches Museum |  | Berlin
YXW4N47R4KW534ZFJNAAOF2A2JZSJALN | Jäger fangen und töten Krokodile. | Deutsche Fotothek; Herzog August Bibliothek Wolfenbüttel | Druckgrafik | Wolfenbüttel
QGNSUUQXLQWHOJXK7POZLFFQW4OWYQNU | Das Krokodil | Deutsche Nationalbibliothek | Kindersachbuch | Esslingen; Wien; Frankfurt am Main
SO65SGW3EUH5RHEICFAUYWCRRC7MSRVS | Krokodile : Alligatoren, Kaimane, echte Krokodile und Gaviale | Deutsche Nationalbibliothek | Text | Magdeburg; Frankfurt am Main
IMAGEUKWF3TWKWYNR5U7R2AQKNJ5TRHE | Krokodil, wahrscheinlich im Dresdener Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
MDO22LXXOFVVBFB3CFBKRK7MRVO5RS3X | Krokodil, wahrscheinlich im Dresdener Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
NAS24ILOXT2EWFS53BLUVRTCDHU4FOJ6 | Krokodil, wahrscheinlich im Dresdener Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
R7LDCIRCPBQYFRFOZTML36ZNEUCXIY6R | Krokodil, wahrscheinlich im Dresdener Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
YDUNPB66D6ZCDQJ4DLOYST53E5X7D4PB | Krokodil, wahrscheinlich im Dresdener Zoo | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Fotografie | Dresden
FTJJQ5KANIKIH5KICT546H3EUO7RWFHQ | Krokodil : Die Männer suchen im Tümpel nach einem sich versteckenden Jacaré, einem brasilianischen Krokodil. | Deutsche Fotothek; Sächsische Landesbibliothek - Staats- und Universitätsbibliothek Dresden | Bilddokument | São Bento, Mato Grosso do Sul
B6JPZP7MMOHYNOUVOLRABREA3G6ISFGR | Frau mit Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Statue | Frankfurt (Main)
KU37FEO3HB7XR6UP4ZYWRFVRZR55I3TL | Schlange mit Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Gemälde | Den Haag
3JKXQ3Q3HUM23RB762LZFFSDYUI6UZTX | Tiger und Krokodil | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg | Figur | Jardin des Tuileries (Garten), Paris
R6UJN6CNCB7344OTX5UOOUKY3KS4PPWY | Krokodil (Illustration aus Münster/Cosmographia) | Stiftung Deutsches Historisches Museum | Illustration | Berlin
XNY3SNTPI2LCKCXNAAWDKTYW3GTNJYBX | Krokodil (Illustration aus Münster/Cosmographia) | Stiftung Deutsches Historisches Museum | Illustration | Berlin
LBMMNVI6D55O6YTMDRVG4SU3X6HGQZ3C | "Die beiden Krokodile" | Ruprecht-Karls-Universität Heidelberg. Universitätsbibliothek; Ruprecht-Karls-Universität Heidelberg | Grafik | München; Heidelberg
JFQ44G6DPFEIX22EGUUBAD5K4KPIWKCB | Kind, Karriere,... Krokodile | Digitales Deutsches Frauenarchiv; FrauenGenderBibliothek Saar | Artikel | 
RQQ65PT527F2HLAXPSAHQZPCLWP52OI7 | Kind, Karriere ... Krokodile | Digitales Deutsches Frauenarchiv; Genderbibliothek des Zentrums für transdisziplinäre Geschlechterstudien an der Humboldt-Universität zu Berlin; Zentrum für transdisziplinäre Geschlechterstudien an der Humboldt-Universität zu Berlin; Humboldt-Universität zu Berlin | Artikel | 
BD2JJW3VZ6X3S53BC3OC7YIOOSMMPHPV | Kapitell mit Greifen, Krokodilen und Löwen - W10V55CC26 | Kunsthistorisches Institut in Florenz – Max-Planck-Institut | Kapitell | Cefalù; Kreuzgang, Westflügel; San Salvatore e Pietro e Paolo; Florenz
ESF5O4PP76U3ZEA2FZCBTP6VGLGLNULS | Kapitell mit Greifen, Krokodilen und Löwen - W10V55CC26 | Kunsthistorisches Institut in Florenz – Max-Planck-Institut | Kapitell | Cefalù; Kreuzgang, Westflügel; San Salvatore e Pietro e Paolo; Florenz
4OPXDPHVDAFTEITXF3RUU5EZWYPVV2WP | Aufzeichnungen eines Krokodils | Digitales Deutsches Frauenarchiv; Archiv DENKtRÄUME/hamburger frauenbibliothek | Buch | Taiwan
YSVFUILHZUPU4G6GOWGI4BJEJN3DQJNT | Supraporte: Zwei Krokodile | Deutsches Dokumentationszentrum für Kunstgeschichte - Bildarchiv Foto Marburg; Philipps-Universität Marburg |  | Jacob-Grimm-Schule (Schule), Kassel, Wilhelmshöher Allee 35-37
DEEORBW35ZHWLVMUBUM5FDAO6CXZIUAH | Kapitell mit Greifen, Krokodilen und Löwen - W10V55CC26 | Kunsthistorisches Institut in Florenz – Max-Planck-Institut | Kapitell | Cefalù; Kreuzgang, Westflügel; San Salvatore e Pietro e Paolo; Florenz
2XAKFVSN5KDHDC7PLAHTZ56JXIB2ZNIE | Stilisierte (unfertiges?) Krokodil. Rückseite. Sammlung Guillermo de Heredia. | Ethnologisches Museum; Staatliche Museen zu Berlin; Stiftung Preußischer Kulturbesitz | Positiv, SW | Coatepec (Jalapa, St. Veracruz); Mexiko; Berlin
WQICIGPCXR7URR7EVNJ32YWT4KZA6GOK | "Krokodil" Karlsruhe | Landesarchiv Baden-Württemberg | Bilder | 
LY2QXF5OQY7COO6RPNRM3GNQK7OT5J74 | Die fossilen Krokodile | Deutsche Nationalbibliothek |  | Wittenberg Lutherstadt; Frankfurt am Main
7STKGAKYVVTPV2G3MRW7PFKC2JYHHPD4 | Krokodile und Alligatoren im Berliner Aquarium | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
PXMWRLXYOQYT2JX5BB2WC3S42SCKM6QG | Krokodile und Alligatoren im Berliner Aquarium | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
SJS6N5COOIZIUYWENK3HOMNKRHW4FQST | Krokodile und Alligatoren im Berliner Aquarium | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
U75VV7EROLQI6UTP7OSKZJINZSHF2IL2 | Krokodile und Alligatoren im Berliner Aquarium | Stiftung Deutsches Historisches Museum | Fotografie | Berlin
GXUDDH5XSISJ7CLME4VU3JWY73WJBXT2 | Alligatoren und Krokodile | Deutsche Nationalbibliothek | Bild; Text | München; Frankfurt am Main
RRDDJ6NCVXGAB3SWTT2RPQNBVI6LBGQX | Krokodil, Schlange, Salamander und Greife | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
6NFCRDBAPVR7ZJYDJE2NKXDPOSVJIB7Q | Krokodile und Alligatoren | Deutsche Nationalbibliothek | Text | Hamburg; Frankfurt am Main
EK4LINWSX3OSP2UURZSAGT2MEV5CCZTI | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
NQMVDEI4WJ6AJFGTQRRJH2TE46PDB63L | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
RWFQHHNQN4IX6RWW72PNMFMKBT6ZMHEC | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Standfotografie | 
P2WFLZKE63QCA7DIX5FSJQ5N6DBZZUJM | Frösche, Schlangen, Krokodile | Deutsche Nationalbibliothek | Kindersachbuch; Sachbücher und Sachbilderbücher für Kinder und Jugendliche: Tiere, Pflanzen, Natur, Umwelt | München; Frankfurt am Main
AE4XTUPJFGTKDEA3K5LD4HPFQALTWWKC | [Das Krokodil und die Fliege] | Kunstsammlung Pankow | Zeichnung | Berlin
ATP2NSMDZGHLRPEI3QWBG7YN6FWADKO6 | Krokodile und Alligatoren | Deutsche Nationalbibliothek | Text | Niedernhausen/Ts.; Frankfurt am Main
ZJ3B22W7RKHBZJGKRUT2UYHDACXTQ2Y5 | Schildkröten, Krokodile, Brückenechsen | Deutsche Nationalbibliothek | Bestimmungsbuch | Jena; Frankfurt am Main
FVXAKXTLMPUQWLUGHXSCMIKXKKMK3WQK | Die Einsamkeit der Krokodile | filmportal.de; DFF - Deutsches Filminstitut & Filmmuseum e.V. | Plakat | 
2TMMKS3WGJL7TIW6RJMS4IGMWUNSSZTY | Das gefangene Krokodil. | Staatsbibliothek zu Berlin - Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Kapitel | 
5T2E2UI7HRFLDIWL7CBSHO2MSVVSA752 | 11. Das Krokodil. | Universitätsbibliothek Bielefeld | Kapitel | 
6E6GR73PYQFPCZUBPBFWULDWYSJG6FDR | 106. Das Krokodil | Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut (GEI) Informationszentrum Bildungsmedien. Bibliothek; Leibniz-Institut für Bildungsmedien | Georg-Eckert-Institut (GEI) Informationszentrum Bildungsmedien | Kapitel | 
B5LCO7ETXHPKLBL6CWTCKVVAYZUWXOEQ | 31. Das Krokodil. | Ibero-Amerikanisches Institut - Stiftung Preußischer Kulturbesitz; Stiftung Preußischer Kulturbesitz | Kapitel | 
