ROGZIU56S2X4F23FHFRYKRRGLXJPYNMA | [Krokodiljagd in Ägypten; Crocodile hunt in Egypt] | Herzog Anton Ulrich-Museum | Druckgraphik | Braunschweig
7ES6WEGR2VXNOCANNX5QM2LXM3I3HEIS | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 98 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
NOSP737XNF4XJRK7WTGP7XQIIG45FQIO | Am See Der Krokodile | Martin-Luther-Universität Halle-Wittenberg, Universitäts- und Landesbibliothek Sachsen-Anhalt; Martin-Luther-Universität Halle Wittenberg | Abschnitt | 
P4AN7HPJXZFJ4HCP27KTOM5ADMRJYNLX | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 111/112 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PVX5NE4A465DQVKCTSQHLPRYCLFHKS3Z | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 111/112 n. Chr. – Hemidrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
JXF5C27XUGCLK3L7FRYCPZLSU3DSZI4A | Die Macht des Krokodils | Deutsche Nationalbibliothek |  | Ägypten; Heidelberg; Frankfurt am Main
UAKJNKDE3WDATAVKML5PW7A6GDUJGBJS | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 108/109 n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3YXVRNKGVOSOETM74DTCRDPU23BYAHGV | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 108/109 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3XZAYZNZIEIL2VAYYVX5SLDOHSYRLCH6 | Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 161-162 n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
BKMSUSYUEYJUYEGFQ4L4KKLFQIYPWQRW | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 98/99 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
BORDWNCR6U2KN527GARNONLJUIXRWMPO | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 109/110 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
C5INMPI4Y66UNMIREN4BMJ4PTOYT77S2 | Domitian (81-96 n. Chr.): Alexandria / Ägypten, 92/93 n. Chr. – Hemidrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
DGTUG5KVWCKMNVTJD2C4LNOFRWHMDJ3A | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 135/136 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
F62FQXXJEEN4Y5VWAUTX4ASZV2VDYIFP | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 98/99 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
IH5XZQVPS2NYJ6Q5DOK6IWA56SBTWOW3 | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 108/109 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KXUWY5LBOSDN7OOK6H5DH4346HO54UU6 | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 137/138 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
L7GKJ6QTVZV47XAP4XGUGNZPKF7HITNK | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 137/138 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
YFKGQEOKJ4TFVXGTWESH4KP4BWBFOCIS | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 119/120 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3ALONKA6N4BE44BKXNT55UIPK5BHKMFP | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 108/109 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
ABTTKCIETF52YCJ67BYU7P5AZAUWUUBS | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 132/133 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
AQ3E3RVZV2JCH52FLLE5FF5BFYLEQTN4 | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 135/136 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
CLDFRFHLGBJVSG7CCLFLYDHPPBQAC5SX | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 128/129 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
FJ34NZGOL6MVSEGM3UGDLZ24UFFA3RK3 | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 98/99 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GKIQ4AXCQRV56WTYBYU6HCI7BOZ2WY4L | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 126/127 n. Chr. – Obol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KND4J3R72N2EMXYI7SBOOJTXFCBGSG2T | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 100/101 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KTBH4UTIDEIHVK6LCPY2WEXGPWZC3YEV | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 135/136 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
O4GOYAEXHNY3AR4NJKRQOVENWLMASHVU | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 132/133 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
O4PEQHN2MRSKIPIKBMC6FAD7QIY25DYU | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 133/134 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PFGC26I55XSKW5NQ523HCGMGIKO7VRAA | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 123/124 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
RZZQNVURHXJEZMR63ERKOGHVJLTHXFYJ | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 131/132 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
SDPWSYVES3G67DY45XAW5JTNSWWRDLTI | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 122/123 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
WKKEX7SHXVTU6QHEOGYXFQHPFGDTG44N | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 131/132 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
WSAOI5L3VEVMDP6WC665BBN2GSSEU6XM | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 124/125 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
YWCC5VAGGPFQ5B3ZW6WSKWTNPF7JY3Q5 | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 107/108 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QIUCFGWD7MRDPSN7JXJM2UVS4BQTL7OC | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 154/155 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
5I3DRDLMIPF46YTW7H4CYQ3Y4VQSN5Z2 | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 130-138 Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GPSWG2VU7K3RQP2KB5WFIOUYJ54KBYDM | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 127/128 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GWB7FSJ2T77JVGMX7LZLGHMZRQW2X5LD | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 127/128 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
IO45YR3VN5JHLZS6Q3CNRY7BQXAPPV5E | Elagabal (218-222 n. Chr.): Alexandria / Ägypten, 219/220 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
JI5Z77EWOZ3QNMMBN2TLY6J7GZEGCCDZ | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 134/135 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
MLUW4SILXKQKE7TINEDMQ3H37Z33X56G | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 108/109 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PDZTZYTJMCI3GK4YDSZSDO7PVK5PIBCY | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 98-117 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
PJ3VRZFGZ2O57SSQO657OIWKYRHSH6I2 | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 134/135 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
RVXNUXSEJPPGZN6EAAYCDD77JF37CSAM | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 130-138 Jh. n. Chr. | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
UXKGLBYCM4WLBOHQBKAMCZQ5RKTYW6XM | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 100/101 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
34MZ5IC54AP3DSBWYI6JWKNCGU7RT2CH | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 159-160 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
UDNWGWEJKBJYGD35A4S6KWSHJABP5OW6 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 154/155 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
ZWHJPWDHZT7JYO5EBANFOFEFF56JTQVK | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 154/155 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
CYJNGOJ4O7GE46GZVLLHJ4DXCMCLX3TB | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 152/153 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
G2Y526TTMJEZDECGZHE3LMHLX5JT56MK | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157/158 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
KHY3K2F2HKO6LXQOCVJ6BGON4SNEWLVG | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 152/153 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
LKM77B3VS4G7PQURSD76PTOGTERRDMIH | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157/158 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
YPSZ2BDE3AGQPY5J5A3VP7AXV6BRMOXI | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 126/127 n. Chr. – Obol | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
D4TTSFNRFCJ7X4SSLJ746MSU3G3OOW3J | Schminkpalette in Form eines Krokodils | Museum für Kunst und Gewerbe Hamburg | Schminkpalette (Naqada-Kultur) | Ägypten
CRQSFP6TZWXHLGH3IQZVKIE5UNNYOSZ6 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 158/159 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GD7W2HIQ3XC5X6KYNKAA3MOEAGFHTETB | Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 161-169 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
J2VQ4JLOK5RPRSD7X2DW5LI4AF24XU4F | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 152/153 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
JUOOKVIYNK4GNERHEP3EYSIE3C5AIY7L | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 158/159 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
LFSTLFBJSGCLU2QXG5UFHXUZQLEG3QC5 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 158/159 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
LGLBYMJY5I6LYLLJDEQGGD5YFCH2ANVH | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 148/149 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QBANPMYXWCKYVRCAK5YHKK4TVTDGX6AU | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 152/153 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
22YYZQRJXNCXMWEASFFRVTLZJYE6CG3J | Hadrian (117-138 n. Chr.): Alexandria / Ägypten, 131/132 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
NVARBK2IDWU5DSQN5L4N6ZNORYZGSHWD | Trajan (98-117 n. Chr.): Alexandria / Ägypten, 107/108 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3U52XJRH2U74UENUGONMFILDJJJQSY3M | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 159/160 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GTNFMXCVORJAZNCNDVKSOXMGWAQXN2FG | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157/158 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
I6LOQVYKZGL5MFQDFGI322DZNG3UO6XO | Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 165/166 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
JCNK6DHJTZS5JL2ZWVNJHOEZRIPGHOFE | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 158/159 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
OJB7IB5WDKGEIOW6WSSBRHXMJWVKMDRB | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 148/149 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
P3RD5M74M7NTNXYFZOZX6RLRZYL4FQHS | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 145/146 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QCIJMAX6FFN52KIDR5KFTZHUVSZHTPAO | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 148/149 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
THZVR74CTFHPWISMSRWJ6S7YKHAMLTF3 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 148/149 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
TMT3XBPDIR6LINZ3MHTOXKS2EJJKD3QI | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157-158 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
ZC7FDMVX75OFNLJMAN35XYGMFIM2OCMI | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 156/157 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3OR6TUEDQZV7VQ5OFLEHDHSFFFLTTYYR | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157/158 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3ZEKOA2SJUE2W3RYOZLKDZZ6G6VY3LMM | Lucius Verus (161-169 n. Chr.): Alexandria / Ägypten, 161/162 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
4D2T22D7RWNRKUDJTMIAM6T3JEDARKYF | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 156/157 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
54XM3LLLK6QI6CRUPDM5RJNLWYTV5WEO | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 157/158 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
5CD2A4IKOIXBQ27FHMEXLJBBNPBDY5CI | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 145-146 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
CWRWFSCDQ33WIF7VS7AEFLTETYX443KQ | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 140/141 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
EGN5MNSAU4NM5HIDHN7DHOTLIBRLZCNU | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 156/157 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
FXOSY4FRCK2HVTWPQ2TGHKNKZTV5AKNO | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 154/155 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
GFTPJS7BQYR77BRPBN7T33IPPLPATFFN | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 145/146 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
HTECKR26HWOZT7VSZKKCDGJLPW25B2LL | Caracalla (196/198-217 n. Chr.): Alexandria / Ägypten, 211-217 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
OJS3DXB57FLEQ2M2HUXUMUEJA6MUDH5Z | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 149/150 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
OL7IUNTICDIT5JP6G3K7MS63VMPU4NNB | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 143/144 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
RC6MNXXOQHUUB5752NBJS4JBHIQWSJEI | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 138-161 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
QMQCXIITBFIONZDQSVILFMLVYRATA4FH | Elagabal (218-222 n. Chr.): Alexandria / Ägypten, 221/222 n. Chr. – Tetradrachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
3NH5WCRA7ISCD23O3EYU3J2YMCZICVQW | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 149/150 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
4D3SU2WYBDQHYQM7L2Z4IH3RCXRMNLW4 | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 149/150 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
AQJI5BABXLGX5VKU4K5EFCAMQ4BQETWP | Antoninus Pius (138-161 n. Chr.): Alexandria / Ägypten, 149/150 n. Chr. – Drachme | Universität zu Köln. Münzsammlung am Institut für Altertumskunde; Universität zu Köln | Münze | Alexandria
