object_id,institution_id,museum,inventory_number,object_title_original,object_title_english,classification,species_if_given,provenance,date_period,length,width,other_dimensions,description,whole_or_partial,wrapping_present,head_visible,dorsal_visible,tail_visible,online_record_url,image_urls,image_count,image_license,api_or_iiif,bibliography,source_of_identification,confidence,notes,x_country,x_city,x_other_numbers,x_classification_basis,x_acquisition,x_evidence_type,x_possible_duplicate_of,x_conflicts,x_date_checked,x_agents
INST-FR-002-O127,INST-FR-002,Musée des Confluences,90001991,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice233951613915523629,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001991 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O128,INST-FR-002,Musée des Confluences,90001992,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice780633309281702841,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001992 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O129,INST-FR-002,Musée des Confluences,90001993,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice218965621728087729,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001993 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O130,INST-FR-002,Musée des Confluences,90001994,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice358968605733969789,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001994 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O131,INST-FR-002,Musée des Confluences,90001995,PETIT AMAS DE BEBES CROCODILES,UNKNOWN,B,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice211442575256294876,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001995 (form used in publications),Official title 'amas de bébés crocodiles' (cluster of several hatchlings),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O132,INST-FR-002,Musée des Confluences,90001996,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice153477615338940703,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001996 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O133,INST-FR-002,Musée des Confluences,90001997,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice418239001222172261,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001997 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O134,INST-FR-002,Musée des Confluences,90001998,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice293728854279323437,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001998 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O135,INST-FR-002,Musée des Confluences,90001999,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice670801801273137641,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90001999 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O136,INST-FR-002,Musée des Confluences,90002000,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice161768966677216056,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002000 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O137,INST-FR-002,Musée des Confluences,90002001,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice801133014262203710,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002001 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O138,INST-FR-002,Musée des Confluences,90002002,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice369569394721860193,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002002 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O139,INST-FR-002,Musée des Confluences,90002003,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice445256962610924306,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002003 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O140,INST-FR-002,Musée des Confluences,90002004,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice281583407629935291,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002004 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O141,INST-FR-002,Musée des Confluences,90002005,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice135380700443343899,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002005 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O142,INST-FR-002,Musée des Confluences,90002006,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice839484688157760885,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002006 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O143,INST-FR-002,Musée des Confluences,90002007,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice121843093938843004,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002007 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O144,INST-FR-002,Musée des Confluences,90002008,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice347636480421624623,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002008 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O145,INST-FR-002,Musée des Confluences,90002009,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice407260572914228646,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002009 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O146,INST-FR-002,Musée des Confluences,90002010,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice169716962117353543,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002010 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O147,INST-FR-002,Musée des Confluences,90002011,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice180844576047286478,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002011 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O148,INST-FR-002,Musée des Confluences,90002012,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice125229943624648527,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002012 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O149,INST-FR-002,Musée des Confluences,90002014,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice743647201800497378,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002014 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O150,INST-FR-002,Musée des Confluences,90002015,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice242667216225701141,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002015 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O151,INST-FR-002,Musée des Confluences,90002016,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice397136292625950253,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002016 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O152,INST-FR-002,Musée des Confluences,90002017,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice461085171323551262,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002017 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O153,INST-FR-002,Musée des Confluences,90002018,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice267865284419918744,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002018 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
INST-FR-002-O154,INST-FR-002,Musée des Confluences,90002019,Bébé crocodile momifié,UNKNOWN,F,UNKNOWN,Afrique / Égypte,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Dénomination: momie d'animal; Préparation: Spécimen momifié,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://portail.museedesconfluences.fr/notice362589891535010501,UNKNOWN,0,UNKNOWN,NO (HTML portal only),UNKNOWN,Musée des Confluences official collections portal (portail.museedesconfluences.fr) [france],CONFIRMED,"MdC dimension convention is 'H. x L. x P.'; for elongated crocodiles the long axis may be given as P. (e.g. 90001391 'H. 25 cm x L. 266 cm x P. 32 cm' vs 90001372 'H. 6 cm x L. 9 cm x P. 85 cm'), so 'length' is left as printed in other_dimensions",FR,Lyon,MHNL 90002019 (form used in publications),Official title only (no description; photo not inspected),Origine indéterminée,OFFICIAL_DB,UNKNOWN,,2026-09-24,france
