date,country,language,database_or_search_engine,query,institution_checked,result,notes,x_agent
2026-09-24,NL,nl,Museon CollectionConnection (cc.museon-omniversum.nl),ccobjectid=140213,Museon-Omniversum,JS-rendered page; record content not retrievable by curl,UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Collectie Nederland search (collectienederland.nl),krokodillenmummie,UNKNOWN,"4 hits: Museon 8258 (2 dataset copies), RMO 22712 (F 1998/11.3), RMO 1035 (AMM 16h, new)",UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Collectie Nederland detail pages,dcn_rijksmuseum-van-oudheden_1035; dcn_museon-omniversum_8258,UNKNOWN,rate_limited (redirected to OAI-PMH),UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Collectie Nederland OAI-PMH GetRecord,identifier=dcn_rijksmuseum-van-oudheden_1035,Rijksmuseum van Oudheden,"AMM 16h crocodile mummy 38,5 cm, CC BY 4.0, ref. de Bakker et al. Visions 35 (2020)",UNKNOWN,benelux_alpine
2026-09-24,NL,en,Canon Medical web,https://ca.medical.canon/publication/ct/V35_CTEU200150 ; my.medical.canon; canon.ge; canon.com.cy,Rijksmuseum van Oudheden,404 / 403 - Visions 35 article not readable,UNKNOWN,benelux_alpine
2026-09-24,NL,en,WebSearch,de Bakker Visions 35 2020 Canon CT crocodile mummy Leiden Rijksmuseum van Oudheden,Rijksmuseum van Oudheden,snippet: AMM 16h contains only adult crocodile skull without lower jaw on a stick (Canon article; candidate only),UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Collectie Nederland search,krokodil mummie; dierenmummie krokodil,UNKNOWN,HTTP 429 rate-limited,UNKNOWN,benelux_alpine
2026-09-24,BE,en,Europeana API (qf COUNTRY:belgium),crocodile mummy,UNKNOWN,"3 hits: KMKG E.00453 (75238), E.07092a (84095), E.07092b (84096)",UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Europeana API (qf COUNTRY:belgium),momie crocodile,UNKNOWN,"3 hits, same KMKG records",UNKNOWN,benelux_alpine
2026-09-24,BE,de,Europeana API (qf COUNTRY:belgium),Krokodilmumie; Krokodil Mumie,UNKNOWN,0; 3 (same KMKG),UNKNOWN,benelux_alpine
2026-09-24,BE,nl,Europeana API (qf COUNTRY:belgium),krokodil mummie,UNKNOWN,"3 hits, same KMKG records",UNKNOWN,benelux_alpine
2026-09-24,CH,en;fr;de;nl,Europeana API (qf COUNTRY:switzerland),crocodile mummy; momie crocodile; Krokodilmumie; Krokodil Mumie; krokodil mummie,UNKNOWN,0 hits each,UNKNOWN,benelux_alpine
2026-09-24,AT,en;fr;de,Europeana API (qf COUNTRY:austria),crocodile mummy; momie crocodile; Krokodil Mumie,UNKNOWN,"5-7 hits: KHM Vienna AE_INV_264, 265, 266, 266c (Krokodilseier), 290, 292; 1 Ars Electronica irrelevant",UNKNOWN,benelux_alpine
2026-09-24,LU,en;fr;de;nl,Europeana API (qf COUNTRY:luxembourg),crocodile mummy; momie crocodile; Krokodilmumie; Krokodil Mumie; krokodil mummie,UNKNOWN,0 hits each,UNKNOWN,benelux_alpine
2026-09-24,LI,en;fr;de;nl,Europeana API (qf COUNTRY:liechtenstein),crocodile mummy; momie crocodile; Krokodilmumie; Krokodil Mumie; krokodil mummie,UNKNOWN,0 hits each,UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis (KMKG eMuseumPlus simple search),crocodile,Art & History Museum Brussels,"30 hits: 7 crocodile mummies E.00453, E.01229, E.07043a, E.07043b, E.07092a, E.07092b, E.09018; rest amulets, scarabs, statuettes, coins",UNKNOWN,benelux_alpine
2026-09-24,BE,nl,Carmentis,krokodil (nl interface),Art & History Museum Brussels,26 hits: same 7 mummies; no new,UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis,momie animale,Art & History Museum Brussels,"24 hits: same 7 crocodile + calf, dog, cat, ibis, bird mummies, human mummies",UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis,Tebtunis,Art & History Museum Brussels,"3 hits: E.07043a, E.07043b crocodile mummies; 1 papyrus",UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis,Sobek; Kom Ombo,Art & History Museum Brussels,"12; 5 hits: statues, amulets, photos of Kom Ombo temple; no mummies",UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis,Crocodylus; oeuf de crocodile; krokodil (fr interface),Art & History Museum Brussels,0 hits each,UNKNOWN,benelux_alpine
2026-09-24,BE,fr,Carmentis,reptile; Fayoum,Art & History Museum Brussels,"273 (musical instruments etc.); 439 (Fayum items incl. same crocodile mummies E.00453, E.07043a/b)",UNKNOWN,benelux_alpine
2026-09-24,BE,en,Europeana record API,"KMKG objectIds 76199, 84039, 84040, 86354",UNKNOWN,Invalid record identifier - not on Europeana,UNKNOWN,benelux_alpine
2026-09-24,AT,de,Europeana API (qf DATA_PROVIDER Fine Arts Museum Vienna),Krokodil,Kunsthistorisches Museum Wien,"49 hits: crocodile mummies AE_INV_264, 265, 266, 290, 292; statuettes 1177, 1097; rest coins/cippus",UNKNOWN,benelux_alpine
2026-09-24,AT,en,Europeana API (qf DATA_PROVIDER Fine Arts Museum Vienna),crocodile,Kunsthistorisches Museum Wien,"15 hits: 264, 265, 266, 266c, 290, 292 + statuettes + coins",UNKNOWN,benelux_alpine
2026-09-24,AT,de,Europeana API (qf DATA_PROVIDER Fine Arts Museum Vienna),Tiermumie,Kunsthistorisches Museum Wien,"45 hits: crocodile 264, 265, 266, 266a, 266b, 266c, 290, 292; ibis, cat, snake, fish, falcon mummies; baboon pseudo-mummy",UNKNOWN,benelux_alpine
2026-09-24,AT,de,"KHM online collection (khm.at/kunstwerke/suche, htmx POST)",Krokodil,Kunsthistorisches Museum Wien,"24 links: crocodile mummies 324028, 324029, 324030, 324031, 324057, 324059, eggs 319134; statuettes, papyrus fragments, coins",UNKNOWN,benelux_alpine
2026-09-24,AT,de,KHM online collection,Tiermumie,Kunsthistorisches Museum Wien,24 links incl. same crocodile objects; no new crocodile,UNKNOWN,benelux_alpine
2026-09-24,AT,de,KHM online collection,Krokodilsmumie; Sobek,Kunsthistorisches Museum Wien,"2 hits (266a, 266b); 2 hits (290, 292)",UNKNOWN,benelux_alpine
2026-09-24,AT,de,KHM object pages khm.at/de/objektdb/detail/<id>,324028 324029 316270 324030 324031 319134 324057 324059,Kunsthistorisches Museum Wien,"8 records read: inv. nos, dimensions, provenance (acquired before 1875 / before 1824)",UNKNOWN,benelux_alpine
2026-09-24,CH,fr,WebSearch,momie de crocodile musée Genève OR Neuchâtel OR Lausanne OR Bâle collection égyptienne,UNKNOWN,not performed - session WebSearch budget (200) exhausted; continued with direct DB queries,UNKNOWN,benelux_alpine
2026-09-24,CH,fr,DuckDuckGo HTML / Bing via curl,momie de crocodile musée Genève,UNKNOWN,DDG bot challenge; Bing returned irrelevant results - unusable,UNKNOWN,benelux_alpine
2026-09-24,CH,fr,MAH Genève collection (mahmah.ch/collection/oeuvres?search=crocodile),crocodile,Musée d'art et d'histoire Genève,JS/cookie bot challenge (curl); WebFetch returned empty page,UNKNOWN,benelux_alpine
2026-09-24,CH,en,opendata.swiss CKAN API,collection musée art histoire genève,UNKNOWN,403,UNKNOWN,benelux_alpine
2026-09-24,CH,de,"Swiss museum websites (bhm.ch, antikenmuseumbasel.ch, mkb.ch, men.ch, mcah.ch, bibel-orient-museum.ch, nmbs.ch, meg.ch, museum.uzh.ch)",collection page probes,UNKNOWN,"bhm/antikenmuseum/nmbs 404 on guessed paths; mcah SSL error; bibel-orient and uzh proxy 502; MKB DB found at onlinecollection.mkb.ch (JS app, not searched)",UNKNOWN,benelux_alpine
2026-09-24,NL,en,OpenAlex API,crocodile mummy (and variants),UNKNOWN,rate limit exhausted (daily budget),UNKNOWN,benelux_alpine
2026-09-24,XX,en;fr;de,Crossref API,crocodile mummy museum; crocodile mummies; momie de crocodile; Krokodilmumie; animal mummies crocodile collection,UNKNOWN,1 in-scope find: van den Bercken (ed.) 2025 Animal Mummies at the Allard Pierson (DOI 10.59641/a1d7x8y9z0); Krokodilmumie query returned non-JSON,UNKNOWN,benelux_alpine
2026-09-24,NL,nl,Europeana API,Allard Pierson krokodil; krokodil/mummie with DATA_PROVIDER Allard Pierson; APM krokodil,Allard Pierson,0 hits each,UNKNOWN,benelux_alpine
2026-09-24,NL,nl,allardpierson.nl; uvaerfgoed.nl viewer,?s=krokodil; /viewer/search/-/krokodil mummie/,Allard Pierson,no object DB found; UvA Erfgoed viewer 0 crocodile hits,UNKNOWN,benelux_alpine
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""order"": ""Crocodylia""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","1366 records matched, 1366 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=133",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""family"": ""Crocodylidae""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","868 records matched, 868 fetched and scanned; croc_mummy_hits=1, croc_egypt_hits=174",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""family"": ""Alligatoridae""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","479 records matched, 479 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=41",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""family"": ""Gavialidae""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","148 records matched, 148 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=46",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""genus"": ""Crocodylus""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","462 records matched, 462 fetched and scanned; croc_mummy_hits=1, croc_egypt_hits=146",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),"filters={""genus"": ""Crocodilus""} | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb","Natural History Museum, London","191 records matched, 191 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=14",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=mummy | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","163 records matched, 163 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=mummified | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","10 records matched, 10 fetched and scanned; croc_mummy_hits=1, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=mummies | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","2 records matched, 2 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=momie | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=mumie | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=embalmed | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=crocodile | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","236 records matched, 236 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=2",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Crocodylus | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","622 records matched, 622 fetched and scanned; croc_mummy_hits=1, croc_egypt_hits=149",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Hawara | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","5 records matched, 5 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=3",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Kom Ombo | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","8 records matched, 8 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Ombos | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","4 records matched, 4 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Thebes | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","128 records matched, 128 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Manfalut | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Maabdeh | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Samoun | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Fayum | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","400 records matched, 400 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=42",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Gebelein | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Crocodilopolis | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,GB,multilingual,NHM London Data Portal CKAN datastore_search (data.nhm.ac.uk),q=Labyrinth | https://data.nhm.ac.uk/api/3/action/datastore_search {} resource_id=05ff2255-c38a-40c9-b657-4ccb55ab2feb,"Natural History Museum, London","12 records matched, 12 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=1",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=preservedspecimen | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""preservedspecimen""}",ALL (aggregator),"7092 records matched, 7092 fetched and scanned; croc_mummy_hits=4, croc_egypt_hits=44",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=fossilspecimen | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""fossilspecimen""}",ALL (aggregator),"5970 records matched, 5970 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=117",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=materialsample | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""materialsample""}",ALL (aggregator),"101 records matched, 101 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=occurrence | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""occurrence""}",ALL (aggregator),"2 records matched, 2 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=humanobservation | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""humanobservation""}",ALL (aggregator),"0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=machineobservation | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""machineobservation""}",ALL (aggregator),"37 records matched, 37 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord=livingspecimen | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": ""livingspecimen""}",ALL (aggregator),"0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
2026-09-24,UNKNOWN,multilingual,iDigBio search API v2,"family=crocodylidae basisofrecord missing | https://search.idigbio.org/v2/search/records {""family"": ""crocodylidae"", ""basisofrecord"": {""type"": ""missing""}}",ALL (aggregator),"0 records matched, 0 fetched and scanned; croc_mummy_hits=0, croc_egypt_hits=0",scripted sweep; hits = records whose text matched mummy regex (and crocodilian); egypt = crocodilian records with Egypt/Egyptian site in locality/country; reviewed manually,biodiversity
