museum,city,country,official_collection_url,result_category,result_detail,sources_checked,queries,date_checked,notes,x_agents
"Tokai University (Ancient Egypt and Near Eastern Collection, AENET / Suzuki collection)",Hiratsuka,JP,https://egypt.civilization.u-tokai.ac.jp/collection,NO_CROCODILE_IN_ONLINE_DB,"ワニ/鰐/セベク 0 hits; ミイラ 9 hits (amulets, canopic lid, papyri — no mummies); organic-remains listing ~45 items (sandals, baskets, bows, figures) with no animal mummies.",https://egypt.civilization.u-tokai.ac.jp/collection/?s=…; https://egypt.civilization.u-tokai.ac.jp/collection/material/organic-remains,ワニ; 鰐; セベク; ミイラ; 動物; material=有機物,2026-09-24,Collection c. 6000 archaeological objects; online DB may not cover all; city given as Hiratsuka (Shonan campus) — location of storage not verified.,east_asia
Museo Nacional de las Culturas del Mundo (INAH),Mexico City,MX,https://www.inah.gob.mx/museos/museo-nacional-de-las-culturas-del-mundo,DB_BLOCKED_OR_UNAVAILABLE,Egyptian collection of c. 150 pieces (Sala del Mediterráneo); no crocodile or animal mummy mentioned in any accessible source. INAH repository unreachable.,WebSearch (Spanish); egiptologia.com directory entry; kemetenanahuac.wordpress.com (curator G. P. Taber's blog) searches 'cocodrilo' and 'momia'; INAH Mediateca (mediateca.inah.gob.mx -> repositorio.inah.gob.mx: connection reset); Nierika article by Taber (timeout),"'Museo Nacional de las Culturas del Mundo México colección egipcia momia cocodrilo'; '""momia de cocodrilo"" México museo'; 'Gerardo Taber colección egipcia Museo Nacional de las Culturas momias animales'",2026-09-24,Nierika (Ibero) article 'Un sueño se materializa: ... colecciones del Egipto faraónico en México' could not be opened (timeout) — worth checking.,rest_of_world
Canterbury Museum,Christchurch,NZ,https://collection.canterburymuseum.com/,DB_BLOCKED_OR_UNAVAILABLE; NO_CROCODILE_IN_ONLINE_DB,"Own collection site blocked for automated access. DigitalNZ subset (mostly postcards, lantern slides, photographs) shows no crocodile mummy; Egyptian holdings include a mummified human head (CT 2021, per search snippet only). | Only a lantern slide 'The power of music; or The musician and the crocodile' (1152394); no crocodile mummy in DigitalNZ-republished records","collection.canterburymuseum.com/objects?query=mummy|crocodile (curl 202 empty, WebFetch 403); DigitalNZ API partner=Canterbury Museum text=mummy (12 hits) and text=crocodile (34 hits); DigitalNZ API (Canterbury Museum is a content partner)",mummy; crocodile; crocodile Egypt | crocodile mummy; mummified crocodile; crocodile egypt; animal mummy,2026-09-24,DigitalNZ appears to carry only part of Canterbury Museum's collection; a manual check of the Vernon browser is still needed. | Only the part of the collection republished to DigitalNZ was covered; museum's own DB not queried,canada_oceania;portals_world
Museum of New Zealand Te Papa Tongarewa,Wellington,NZ,https://collections.tepapa.govt.nz/,ONLY_OTHER_ANIMAL_MUMMIES; NO_CROCODILE_IN_ONLINE_DB,"Egyptian animal mummies online: 2 'Mummified Ibis Package' (FE000968, FE001738). Crocodile records are preserved reptile specimens (e.g. RE.001126 Nile crocodile, RE.002490, RE.002491; basisOfRecord PreservedSpecimen, locality 'No data'), photographs (Ancient Egypt Series, Kom Ombo-type views) and artworks - none described as mummified. | Te Papa records via DigitalNZ matching crocodile+Egypt are photographs ('Ancient Egypt Series: Alabaster crocodile god with Amunhotep III', objects 590646, 591378-591389) and prints; no crocodile mummy","Te Papa Collections API https://data.tepapa.govt.nz/collection/search; object 209005, 291554, 291555; DigitalNZ API; Te Papa collections API https://data.tepapa.govt.nz/collection/search (HTTP 401, key required); DigitalNZ API (republishes Te Papa records)",crocodile mummy; mummified crocodile; crocodile; mummy; Sobek | DigitalNZ: crocodile mummy; mummified crocodile; crocodile egypt; Sobek; animal mummy; crocodile,2026-09-24,Te Papa API returns a public guest token in its 401 response; used as Bearer token. | Te Papa API needs an API key (401) — not queried directly,canada_oceania;portals_world
"Teece Museum of Classical Antiquities, University of Canterbury",Christchurch,NZ,http://teecemuseum.nz/,NO_CROCODILE_IN_ONLINE_DB,Only 'Shroud' (212709) and a scarab copy returned for 'animal mummy'; no crocodile material,DigitalNZ API,crocodile mummy; animal mummy; crocodile egypt,2026-09-24,DigitalNZ-republished records only,portals_world
Gemer-Malohont Museum,Rimavská Sobota,SK,https://slovakiana.sk/kulturne-objekty/cair-ko2qtsq,NO_CROCODILE_IN_ONLINE_DB,"Only human 'Múmia v sarkofágu' (945-664 BC); crocodile items are modern (glass crocodile, pliers).",Slovakiana API; Strouhal & Vyhnánek 1979 Table 1 (Cat. 10 human),múmia; krokodíl,2026-09-24,UNKNOWN,central_east_europe
Slovak National Museum – Archaeological Museum,Bratislava,SK,https://slovakiana.sk,NO_CROCODILE_IN_ONLINE_DB,Egyptian items online are ushabti fragments; no animal mummies.,Slovakiana API,mumifikovaný; múmia; krokodíl,2026-09-24,UNKNOWN,central_east_europe
Slovak National Museum – Betliar Museum,Betliar,SK,https://slovakiana.sk/kulturne-objekty/cair-ko258zd,ONLY_NON_MUMMY_CROCODILE_ITEMS,"Two Nile crocodiles (ZO 00253, 2700 mm; ZO 00254 juvenile 650 mm) are taxidermy ('preparované celé telo', Africa c. 1860), not mummies. Egyptian holdings: human mummies (Amun priest in coffin; child in glass coffin).","Slovakiana API records cair-ko258zd, cair-ko25n7t, cair-ko1jtbm, cair-ko24cp1; Strouhal & Vyhnánek 1979 Table 1 (Betliar: complete bodies Cat. 7, 24 only)",múmia; krokodíl; Crocodylus; múmia krokodíla,2026-09-24,Andrássy collection.,central_east_europe
Slovak National Museum – Natural History Museum,Bratislava,SK,https://slovakiana.sk,ONLY_NON_MUMMY_CROCODILE_ITEMS,Crocodylus niloticus/acutus/rhombifer natural-history specimens and Homo sapiens (Egypt) human remains; no crocodile mummy.,Slovakiana API; Strouhal & Vyhnánek 1979 Table 1 (Natural History Institution of the SNM: human complete body Cat. 20 only),múmia; Crocodylus; mumifikovaný,2026-09-24,UNKNOWN,central_east_europe
Art Institute of Chicago,Chicago,US,https://www.artic.edu/collection,ONLY_NON_MUMMY_CROCODILE_ITEMS,"Crocodile hits are amulets (1894.934, 1894.893, 1894.830, 1894.890, 1894.946), scaraboid 1894.1905, Statuette of Sobek 1894.260; animal-mummy-related objects are a cat coffin 1922.4800 and boxes for mummified animals with cobra/snake figures (1893.19, 1892.159); no crocodile mummy | Only crocodile amulets, Sobek statuette 1894.260 and bronze animal-mummy boxes for snakes; no crocodile mummy",AIC public API https://api.artic.edu/api/v1/artworks/search (GET ?q= and POST Elasticsearch query_string); https://api.artic.edu/api/v1/artworks/search?q=crocodile%20mummy; q=crocodile; q=animal%20mummy,'(crocodile OR Sobek OR crocodil*) AND mumm*' (0); crocodile (50); Sobek (5); 'mumm* AND place_of_origin:Egypt' (72); 'animal AND mumm*' (18) | crocodile mummy; mummified crocodile; crocodile; animal mummy,2026-09-24,Plain ?q= search reports total=133118 for every term (scores whole collection); exact counts from ES query_string | API covers whole collection.,portals_world;usa_midwest_west
"The Bancroft Library, Center for the Tebtunis Papyri, University of California, Berkeley",Berkeley,US,https://www.lib.berkeley.edu/libraries/bancroft-library,OTHER,"Holds papyri recovered from Tebtunis crocodile mummies (e.g. Menches archive 'wrapped around these animals'), but the crocodile mummies exhibited at the Bancroft (Object Lessons 2019-2020) are Hearst Museum loans (6-20100, 6-21633, 6-21634). No crocodile mummy owned by the Bancroft found.",https://guides.lib.berkeley.edu/objectlessons/dying; https://news.berkeley.edu/2021/03/02/crocodile-mummies/; Hearst portal loan fields,crocodile mummy; Tebtunis crocodile,2026-09-24,tebtunis.berkeley.edu failed TLS (certificate mismatch). Papyri from crocodile mummies are not objects in scope.,usa_midwest_west
"Burke Museum of Natural History and Culture, University of Washington",Seattle,US,https://arctos.database.museum/collection/UWBM:Herp,OTHER,"Herpetology record UWBM:Herp:7021 Crocodylus niloticus, preparations 'skin; whole organism (mummified)', SVL 80 mm, total length 70 mm (attribute date 1800), collector unknown, NO locality and no statement that it is Egyptian or ancient. Cannot be counted as an Egyptian crocodile mummy without further information. Burke archaeology: human mummy and mummified birds only (per search).",GBIF occurrence 5195959520 (https://api.gbif.org/v1/occurrence/5195959520); https://arctos.database.museum/guid/UWBM:Herp:7021 (unreachable); WebSearch,GBIF q=mummified familyKey=5685; 'Burke Museum Egyptian crocodile mummy',2026-09-24,Arctos returned connection reset / 503 - retry to read remarks. Possible hatchling mummy; worth a direct enquiry.,usa_midwest_west
Cleveland Museum of Art,Cleveland,US,https://www.clevelandart.org/art/collection/search,NO_CROCODILE_IN_ONLINE_DB,"No crocodile mummy or crocodile-mummy container in the Open Access API; Egyptian 'mummy' hits are human coffins, mummy bands, masks, model mummy 1914.810 | No crocodile mummy or animal mummy in Open Access API; Egyptian items are human funerary equipment",Cleveland Museum of Art Open Access API https://openaccess-api.clevelandart.org/api/artworks/?q=...&limit=1000 (all hits retrieved); https://openaccess-api.clevelandart.org/api/artworks/?q=crocodile; ?q=mummy; ?q=animal%20mummy; ?q=Sobek,crocodile (43 hits); crocodile mummy (0); mummified crocodile (1: 1969.118 Apis Bull); Sobek (0); animal mummy (0); mummy (58) | crocodile; mummy; animal mummy; Sobek,2026-09-24,API covers the full collection incl. non-open-access records per CMA documentation (not verified) | Open Access API covers full online collection.,portals_world;usa_midwest_west
Dallas Museum of Art,"Dallas, TX",US,https://dma.org/art/collection,NO_CROCODILE_IN_ONLINE_DB,"25 crocodile hits (Pre-Columbian, African, Oceanic, modern), none Egyptian; 5 'mummy' hits = Egyptian mummy mask, Roman mummy portrait, Andean bundles.",https://sitesearch.dma.org/api/search/collection?q=crocodile / mummy / Sobek (official collection search API),crocodile; mummy; Sobek,2026-09-24,UNKNOWN,usa_south
Houston Museum of Natural Science,"Houston, TX",US,UNKNOWN,NO_ONLINE_DB,No online collection database; official exhibit and blog pages do not mention a crocodile mummy in HMNS holdings. A 'baby crocodile' mummy was shown in Houston only as part of the touring loan exhibition 'Mummies of the World' (2016).,https://www.hmns.org/exhibits/hall-of-ancient-egypt/; https://blog.hmns.org/2015/10/13-freaky-finds-at-hmns/; http://blog.hmns.org/tag/nile-crocodile/; http://blog.hmns.org/tag/mummy/; https://blog.hmns.org/2016/11/five-things-i-learned-at-mummies-of-the-world-the-exhibition/; web search,crocodile mummy; crocodile; Hall of Ancient Egypt,2026-09-24,Hall of Ancient Egypt (2013/2021) includes many long-term loans; objects not individually online.,usa_south
Institute of Egyptian Art & Archaeology and Art Museum of the University of Memphis (AMUM),"Memphis, TN",US,https://amum.catalogaccess.com/home,DB_BLOCKED_OR_UNAVAILABLE,"Official PastPerfect CatalogAccess database renders only via JavaScript and robots.txt disallows /api/, so keyword results could not be retrieved; no official page or web source mentions a crocodile mummy in the ~1,400-object Egyptian collection.",https://www.memphis.edu/egypt/exhibit/collectiondb.php; https://www.memphis.edu/egypt/exhibit/access.php; https://www.memphis.edu/egypt/exhibit/; https://www.memphis.edu/egypt/exhibit/videos.php; https://www.memphis.edu/amum/collections/ancient_egyptian.php; https://amum.catalogaccess.com/search?keyword=crocodile (JS-only); web search,"crocodile, crocodile mummy, Sobek, animal mummies",2026-09-24,Needs manual browser search of amum.catalogaccess.com (keyword 'crocodile') or enquiry. IEAA states majority but not all of the collection is online.,usa_south
Johns Hopkins Archaeological Museum,"Baltimore, MD",US,https://archaeologicalmuseum.jhu.edu/,DB_BLOCKED_OR_UNAVAILABLE,Cloudflare 'you have been blocked' for curl and WebFetch; Wayback CDX failed (connection reset). Not checked.,https://archaeologicalmuseum.jhu.edu/?s=crocodile; https://archaeologicalmuseum.jhu.edu/the-collection/; Wayback CDX,crocodile,2026-09-24,Needs manual browser check - JHU holds Egyptian material incl. animal mummies (unverified).,usa_south
"Museum of Fine Arts, Houston","Houston, TX",US,https://emuseum.mfah.org/,DB_BLOCKED_OR_UNAVAILABLE,eMuseum returns 403 to scripted and WebFetch access; search-engine index of emuseum.mfah.org shows Egyptian mummy mask (44427) and mummy of a child (82925) but crocodile records only for Pre-Columbian and African objects.,https://emuseum.mfah.org/search/crocodile (403); web search results listing emuseum.mfah.org records,crocodile; animal mummy; Sobek; crocodile mummy,2026-09-24,Needs manual browser search.,usa_south
North Carolina Museum of Art,"Raleigh, NC",US,https://collection.ncartmuseum.org/,NO_CROCODILE_IN_ONLINE_DB,Only crocodile record is a Pre-Columbian effigy vessel; Egyptian mummy-related objects are mummy coverings and a falcon coffin with grain mummy (129).,https://collection.ncartmuseum.org/search/crocodile; /search/mummy; https://learn.ncartmuseum.org/?s=crocodile|mummy|Sobek|animal+mummy; https://ncartmuseum.org/?s=crocodile+mummy,crocodile; mummy; crocodile mummy; Sobek; animal mummy,2026-09-24,UNKNOWN,usa_south
Virginia Museum of Fine Arts,"Richmond, VA",US,https://www.vmfa.museum/collection/search,NO_CROCODILE_IN_ONLINE_DB,Crocodile hits are African/Tibetan objects and a Pataikos amulet; animal-mummy items are shrine-shaped boxes for shrew (59495) and ichneumon (59508) mummies; no crocodile mummy.,https://www.vmfa.museum/collection/search?q=crocodile / mummy / crocodile mummy / Sobek / mummified,crocodile; mummy; crocodile mummy; Sobek; mummified,2026-09-24,UNKNOWN,usa_south
Walters Art Museum,Baltimore,US,https://art.thewalters.org/,ONLY_OTHER_ANIMAL_MUMMIES,"Open-data dump (22,193 records) lists animal mummies only as cats (79.2, 79.3) and a falcon reliquary with falcon bones (54.2120); all crocodile records are amulets, inlays, cippi, statues or non-Egyptian items.",https://raw.githubusercontent.com/WaltersArtMuseum/api-thewalters-org/main/art.csv (official CC0 data dump replacing retired API); art.thewalters.org search (403); https://thewalters.org/exhibitions/mummified/ (403),"crocodil, sobek, souchos, suchos (all fields); mumm (title/object name/medium)",2026-09-24,Online collection site behind Cloudflare challenge; data dump may not include every accession (Walters holds more objects than 22k records).,usa_south
Vatican Museums - Museo Gregoriano Egizio (Reparto Antichità Egizie e del Vicino Oriente),Vatican City,VA,https://catalogo.museivaticani.va/index.php/Front/Index?lang=it_IT,DB_BLOCKED_OR_UNAVAILABLE,"Online catalogue unreachable (timeouts). Site search: 'coccodrillo' 0, 'mummia coccodrillo' 0, 'mummie animali' 2 pages (Vatican Mummy Project studies 'mummie umane e animali della collezione' - generic, no crocodile named). Sala VI lists only a cat-mummy urn and stela of Horus on crocodiles.","https://catalogo.museivaticani.va/ (timeout 40-90 s, curl + WebFetch); https://www.museivaticani.va/content/museivaticani/it/utility/search.html?q=...; https://www.museivaticani.va/content/museivaticani/it/collezioni/reparti/reparto-antichita-egizie/attivita-progetti-ricerca.html; museo-gregoriano-egizio room pages (Sala II, IV, VI)",coccodrillo; mummie animali; mummia coccodrillo (site search); catalogue search=coccodrillo,2026-09-24,Vatican holds animal mummies (official: 'mummie ... animali della collezione'); crocodile holdings unknown. Resume: retry catalogo.museivaticani.va/index.php/Search/objects?search=coccodrillo,southern_europe
